imdbId,director_name
44829,Charles Crichton
44837,Charles Chaplin
44876,Alexander Mackendrick
44916,Howard Hawks
45012,George Cukor
45061,John Ford
45081,Julien Duvivier
45125,George Sidney
45152,Gene Kelly
45152,Stanley Donen
45251,Orson Welles
45274,Vittorio De Sica
45464,Roy Rowland
45537,Vincente Minnelli
45591,David Butler
45708,Chuck Jones
45793,Fred Zinnemann
45810,Howard Hawks
45826,Edward D. Wood Jr.
45888,André De Toth
45891,Jean Negulesco
45897,Alfred Hitchcock
45920,Jack Arnold
45963,George Sidney
46085,John Ford
46126,Henry Hathaway
46183,Clyde Geronimi
46183,Wilfred Jackson
46183,Hamilton Luske
46183,Jack Kinney
46187,Samuel Fuller
46250,William Wyler
46268,Henri-Georges Clouzot
46303,George Stevens
46359,Billy Wilder
46414,John Huston
46435,Jean Negulesco
46438,Yasujirô Ozu
46451,Jacques Becker
46478,Kenji Mizoguchi
46487,Jacques Tati
46521,Federico Fellini
46534,Byron Haskin
46672,Richard Fleischer
46754,Joseph L. Mankiewicz
46807,Vincente Minnelli
46816,Edward Dmytryk
46874,George Seaton
46876,Jack Arnold
46889,Michael Anderson
46911,Henri-Georges Clouzot
46912,Alfred Hitchcock
46963,Robert Wise
47030,Anthony Mann
47034,Ishirô Honda
47216,Ladislao Vajda
47296,Elia Kazan
47396,Alfred Hitchcock
47437,Billy Wilder
47445,Kenji Mizoguchi
47472,Stanley Donen
47478,Akira Kurosawa
47522,George Cukor
47528,Federico Fellini
47542,Lewis Allen
47573,Gordon Douglas
47577,Joseph M. Newman
47577,Jack Arnold
47673,Michael Curtiz
47677,Laslo Benedek
47682,Mikio Naruse
47811,Douglas Sirk
47834,Joy Batchelor
47834,John Halas
47849,John Sturges
47885,Richard Brooks
47892,Jean-Pierre Melville
47977,Norman Foster
48021,Jules Dassin
48028,Elia Kazan
48140,Joseph L. Mankiewicz
48254,Stanley Kubrick
48261,Robert Aldrich
48280,Hamilton Luske
48280,Jack Cutting
48280,Clyde Geronimi
48280,Wilfred Jackson
48281,Alexander Mackendrick
48308,Max Ophüls
48316,Otto Lang
48316,Henry King
48347,Otto Preminger
48356,Delbert Mann
48380,John Ford
48380,Joshua Logan
48380,Mervyn LeRoy
48393,Orson Welles
48394,Juan Antonio Bardem
48424,Charles Laughton
48434,Alain Resnais
48445,Fred Zinnemann
48452,Carl Theodor Dreyer
48473,Satyajit Ray
48491,Joshua Logan
48545,Nicholas Ray
48563,Daniel Mann
48605,Billy Wilder
48696,Jack Arnold
48728,Alfred Hitchcock
48750,Alfred Hitchcock
48801,Michael Curtiz
48947,Anatole Litvak
48956,Satyajit Ray
48960,Michael Anderson
48960,John Farrow
48977,Mervyn LeRoy
48980,Albert Lamorisse
48992,Edward Nassour
48992,Ismael Rodríguez
49096,Melvin Frank
49096,Norman Panama
49169,Fred F. Sears
49189,Roger Vadim
49223,Fred M. Wilcox
49233,William Wyler
49261,George Stevens
49291,Mark Robson
49314,Charles Walters
49363,Jack Pollexfen
49366,Don Siegel
49406,Stanley Kubrick
49408,Walter Lang
49452,Robert D. Webb
49456,George Cukor
49456,Vincente Minnelli
49470,Alfred Hitchcock
49513,John Huston
49607,Armand Lohikoski
49730,John Ford
49830,Daniel Mann
49833,Cecil B. DeMille
49902,Robert Bresson
49934,King Vidor
49949,Fritz Lang
49966,Douglas Sirk
50083,Sidney Lumet
50084,Nathan Juran
50086,Delmer Daves
50095,Val Guest
50105,Leo McCarey
50147,Roger Corman
50177,Bert I. Gordon
50212,David Lean
50280,Terence Fisher
50306,Vincente Minnelli
50307,Walter Lang
50371,Elia Kazan
50419,Stanley Donen
50539,Jack Arnold
50598,Charles Chaplin
50613,Akira Kurosawa
50634,Mikhail Kalatozov
50658,Billy Wilder
50706,Jacques Tati
50738,Henry Koster
50783,Federico Fellini
50798,Robert Stevenson
50814,George Abbott
50814,Stanley Donen
50825,Stanley Kubrick
50832,Armand Lohikoski
50839,Mark Robson
50972,Rouben Mamoulian
50976,Ingmar Bergman
50986,Ingmar Bergman
51036,Alexander Mackendrick
51077,Nunnally Johnson
51201,Billy Wilder
51207,Alfred Hitchcock
51337,Nathan Juran
51365,Ingmar Bergman
51378,Louis Malle
51380,Nathan Juran
51381,Bert I. Gordon
51383,Morton DaCosta
51406,Richard Quine
51411,William Wyler
51418,Irvin S. Yeaworth Jr.
51418,Russell S. Doughten Jr.
51459,Richard Brooks
51516,Stanley Donen
51516,George Abbott
51525,Stanley Kramer
51554,Terence Fisher
51622,Kurt Neumann
51658,Charles Walters
51658,Vincente Minnelli
51745,Melville Shavelson
51758,Robert Wise
51773,Stanley Donen
51808,Akira Kurosawa
51850,Jack Kinney
51850,Clyde Geronimi
51878,Martin Ritt
51994,Roy Ward Baker
52027,Fred Zinnemann
52027,John Sturges
52077,Edward D. Wood Jr.
52080,Andrzej Wajda
52151,Robert Wise
52216,Mario Monicelli
52225,Joshua Logan
52278,George Seaton
52311,Orson Welles
52357,Alfred Hitchcock
52561,Otto Preminger
52564,Ib Melchior
52572,Satyajit Ray
52587,Spencer Gordon Bennet
52618,William Wyler
52646,Joseph Green
52655,Roger Corman
52722,Robert Stevenson
52738,George Stevens
52847,Paul Wendkos
52893,Alain Resnais
52902,John Ford
52918,Douglas Sirk
52948,Henry Levin
52969,Ray Kellogg
53084,Jack Arnold
53085,Terence Fisher
53114,Masaki Kobayashi
53115,Masaki Kobayashi
53125,Alfred Hitchcock
53137,Stanley Kramer
53143,Blake Edwards
53146,Marcel Camus
53168,Robert Bresson
53172,Michael Gordon
53183,Lewis Milestone
53198,François Truffaut
53221,Howard Hawks
53226,Jack Clayton
53271,Charles Barton
53285,Les Clark
53285,Clyde Geronimi
53285,Hamilton Luske
53285,Eric Larson
53285,Wolfgang Reitherman
53291,Billy Wilder
53318,Joseph L. Mankiewicz
53320,Delmer Daves
53459,Georges Franju
53472,Jean-Luc Godard
53559,William Castle
53580,John Wayne
53593,Edgar G. Ulmer
53604,Billy Wilder
53611,Bernard L. Kowalski
53619,Michelangelo Antonioni
53622,Daniel Mann
53779,Federico Fellini
53793,Richard Brooks
53804,Otto Preminger
53841,Mark Robson
53877,Stanley Donen
53925,Roger Corman
53946,Stanley Kramer
53976,Ingmar Bergman
54033,Roger Corman
54047,John Sturges
54130,Michelangelo Antonioni
54135,Lewis Milestone
54144,Mikio Naruse
54167,Michael Powell
54176,Vincent J. Donehue
54188,Charles Walters
54195,David Swift
54215,Alfred Hitchcock
54248,Luchino Visconti
54325,Seijun Suzuki
54331,Stanley Kubrick
54357,Ken Annakin
54387,George Pal
54393,Bert I. Gordon
54407,Jacques Becker
54428,John Huston
54443,Wolf Rilla
54462,Roger Corman
54494,Louis Malle
54594,Robert Stevenson
54649,Jack Donohue
54698,Blake Edwards
54743,William Wyler
54749,Vittorio De Sica
54847,Anthony Mann
54953,J. Lee Thompson
54997,Robert Rossen
55018,Jack Clayton
55031,Stanley Kramer
55032,François Truffaut
55047,Nicholas Ray
55100,Delbert Mann
55184,John Huston
55198,Ishirô Honda
55233,Masaki Kobayashi
55254,Hamilton Luske
55254,Wolfgang Reitherman
55254,Clyde Geronimi
55256,Billy Wilder
55257,Marlon Brando
55277,David Swift
55304,Roger Corman
55312,Frank Capra
55353,Daniel Petrie
55400,Leonid Gaidai
55471,Elia Kazan
55499,Ingmar Bergman
55572,Jean-Luc Godard
55601,Luis Buñuel
55608,Irwin Allen
55614,Robert Wise
55614,Jerome Robbins
55630,Akira Kurosawa
55728,Otto Preminger
55798,John Frankenheimer
55805,Vittorio De Sica
55805,Luchino Visconti
55805,Federico Fellini
55805,Mario Monicelli
55824,J. Lee Thompson
55830,Herk Harvey
55831,Ralph Thomas
55831,Gerald Thomas
55895,Blake Edwards
55913,Pietro Germi
55928,Terence Young
56023,Norman Taurog
56048,Mervyn LeRoy
56058,Masaki Kobayashi
56059,Howard Hawks
56095,Robert Stevenson
56111,Eduard Abalov
56111,Andrei Tarkovsky
56119,Chris Marker
56142,Ishirô Honda
56142,Tom Montgomery
56171,Roberto Rossellini
56171,Ugo Gregoretti
56171,Pier Paolo Pasolini
56171,Jean-Luc Godard
56172,David Lean
56193,Stanley Kubrick
56195,David Miller
56196,Sidney Lumet
56197,Andrew Marton
56197,Darryl F. Zanuck
56197,Bernhard Wicki
56197,Gerd Oswald
56197,Ken Annakin
56217,John Ford
56218,John Frankenheimer
56241,Arthur Penn
56262,Morton DaCosta
56264,Lewis Milestone
56264,Carol Reed
56291,Roman Polanski
56405,Sidney W. Pink
56405,Poul Bang
56406,Ralph Nelson
56412,Sam Peckinpah
56415,Clark L. Paylow
56443,Akira Kurosawa
56541,Richard Brooks
56575,Delbert Mann
56592,Robert Mulligan
56687,Robert Aldrich
56704,Cliff Owen
56732,Luis Buñuel
56801,Federico Fellini
56868,John Schlesinger
56869,Alfred Hitchcock
56875,Herschell Gordon Lewis
56903,David Miller
56905,Jean-Luc Godard
56912,Gerald Thomas
56923,Stanley Donen
56931,Anton Leader
57012,Stanley Kubrick
57076,Terence Young
57091,Luchino Visconti
57115,John Sturges
57129,Robert Wise
57163,Martin Ritt
57171,Vittorio De Sica
57180,Fletcher Markle
57187,Billy Wilder
57193,Stanley Kramer
57197,Don Chaffey
57215,Ishirô Honda
57215,Shûe Matsubayashi
57251,Ralph Nelson
57261,Peter Brook
57286,Francesco Rosi
57318,Paolo Cavara
57318,Gualtiero Jacopetti
57318,Franco Prosperi
57345,Jean-Luc Godard
57358,Ingmar Bergman
57372,Jerry Lewis
57413,Blake Edwards
57427,Orson Welles
57495,Samuel Fuller
57518,Robert Stevenson
57546,Wolfgang Reitherman
57546,Clyde Geronimi
57546,David Hand
57565,Akira Kurosawa
57581,Norman Jewison
57590,Tony Richardson
57603,Mario Bava
57611,Ingmar Bergman
57697,Seijun Suzuki
57812,George Pal
57840,Arthur Hiller
57859,Jack Pollexfen
57859,Joseph V. Mascelli
57869,Jean-Luc Godard
57887,William Asher
57936,Édouard Molinaro
58083,Sidney Lumet
58092,Ralph Nelson
58150,Guy Hamilton
58154,Vincente Minnelli
58175,John Gielgud
58175,Bill Colleran
58182,Richard Lester
58213,Robert Aldrich
58230,Bill Tytla
