imdbId,ordering,actor_name,category,characters
20530,4,Pancho Cossío,actor,Stroller
20629,1,Lew Ayres,actor,Paul
20629,2,Louis Wolheim,actor,Kat
20629,3,John Wray,actor,Himmelstoss
20629,4,Arnold Lucy,actor,Kantorek
20640,1,Groucho Marx,actor,Captain Geoffrey T. Spaulding
20640,2,Harpo Marx,actor,The Professor
20640,3,Chico Marx,actor,Signor Emanuel Ravelli
20640,4,The Marx Brothers,actor,
20641,1,Greta Garbo,actress,Anna
20641,2,Charles Bickford,actor,Matt
20641,3,George F. Marion,actor,Chris
20641,4,Marie Dressler,actress,Marthy
20641,10,James T. Mack,actor,Johnny the Harp
20697,1,Emil Jannings,actor,Professor Immanuel Rath
20697,2,Marlene Dietrich,actress,Lola Lola
20697,3,Kurt Gerron,actor,Kiepert| Zauberkünstler
20697,4,Rosa Valetti,actress,Guste| seine Frau
20827,1,Norma Shearer,actress,Jerry
20827,2,Robert Montgomery,actor,Don
20827,3,Chester Morris,actor,Ted
20827,4,Conrad Nagel,actor,Paul
21079,1,Edward G. Robinson,actor,Caesar Enrico 'Rico' Bandello|'Little Caesar'
21079,2,Douglas Fairbanks Jr.,actor,Joe Massara
21079,3,Glenda Farrell,actress,Olga Stassoff
21079,4,William Collier Jr.,actor,Tony Passa
21746,1,Richard Dix,actor,Yancey Cravat
21746,2,Irene Dunne,actress,Sabra Cravat
21746,3,Estelle Taylor,actress,Dixie Lee
21746,4,Nance O'Neil,actress,Felice Venable
21749,1,Charles Chaplin,actor,A Tramp
21749,2,Virginia Cherrill,actress,A Blind Girl
21749,3,Florence Lee,actress,The Blind Girl's Grandmother
21749,4,Harry Myers,actor,An Eccentric Millionaire
21814,1,Bela Lugosi,actor,Count Dracula
21814,2,Helen Chandler,actress,Mina
21814,3,David Manners,actor,John Harker
21814,4,Dwight Frye,actor,Renfield
21884,1,Colin Clive,actor,Henry Frankenstein
21884,2,Mae Clarke,actress,Elizabeth
21884,3,Boris Karloff,actor,The Monster
21884,4,John Boles,actor,Victor Moritz
21890,1,Adolphe Menjou,actor,Walter Burns
21890,2,Pat O'Brien,actor,Hildy Johnson
21890,3,Mary Brian,actress,Peggy Grant
21890,4,Edward Everett Horton,actor,Bensinger
21910,1,Kay Francis,actress,Wanda Howard
21910,2,Joel McCrea,actor,Jim Baker
21910,3,Lilyan Tashman,actress,Marie Bailey
21910,4,Eugene Pallette,actor,Benjamin Thomas
21910,10,Alan Dinehart,actor,Jerry Chase
22002,1,Lew Ayres,actor,Kid Mason
22002,2,Robert Armstrong,actor,George Regan
22002,3,Jean Harlow,actress,Rose Mason
22002,4,John Miljan,actor,Paul H. Lewis
22100,1,Peter Lorre,actor,Hans Beckert
22100,2,Ellen Widmann,actress,Frau Beckmann
22100,3,Inge Landgut,actress,Elsie Beckmann
22100,4,Otto Wernicke,actor,Inspector Karl Lohmann
22111,1,Bebe Daniels,actress,Ruth Wonderly
22111,2,Ricardo Cortez,actor,Sam Spade
22111,3,Dudley Digges,actor,Casper Gutman
22111,4,Una Merkel,actress,Effie Perine
22183,1,Dorothea Wieck,actress,Frl. von Bernburg
22183,2,Hertha Thiele,actress,Manuela von Meinhardis
22183,3,Emilia Unda,actress,Oberin des Stifts
22183,4,Hedy Krilla,actress,Frl. von Kesten
22286,1,James Cagney,actor,Tom Powers
22286,2,Jean Harlow,actress,Gwen Allen
22286,3,Edward Woods,actor,Matt Doyle
22286,4,Joan Blondell,actress,Mamie
22599,1,Raymond Cordy,actor,Louis
22599,2,Henri Marchand,actor,Émile
22599,3,Rolla France,actress,Jeanne
22599,4,Paul Ollivier,actor,L'oncle
22718,1,Michel Simon,actor,Priape Boudu
22718,2,Marcelle Hainia,actress,Emma Lestingois
